Age,Stage of Change,Symptoms and Disorders,Psychological Treatment,Evidence Level,Basis for Evidence
Adolescent,Action,Oppositional and Conduct Disorders,Problem-Solving Skills Training + Parent,Good,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Adolescent,Maintenance,Oppositional and Conduct Disorders,Problem-Solving Skills Training + Parent,Good,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Child,Precontemplation,Oppositional and Conduct Disorders,CBT,Unclear,
Child,Contemplation,Oppositional and Conduct Disorders,CBT,Unclear,
Child,Preparation,Oppositional and Conduct Disorders,CBT,Good,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Child,Action,Oppositional and Conduct Disorders,CBT,Good,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Child,Maintenance,Oppositional and Conduct Disorders,CBT,Good,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Adolescent,Precontemplation,Oppositional and Conduct Disorders,CBT,Unclear,
Adolescent,Contemplation,Oppositional and Conduct Disorders,CBT,Unclear,
Adolescent,Preparation,Oppositional and Conduct Disorders,CBT,Good,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Adolescent,Action,Oppositional and Conduct Disorders,CBT,Good,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Adolescent,Maintenance,Oppositional and Conduct Disorders,CBT,Good,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Child,Precontemplation,Oppositional and Conduct Disorders,CBT (group),Unclear,
Child,Contemplation,Oppositional and Conduct Disorders,CBT (group),Unclear,
Child,Preparation,Oppositional and Conduct Disorders,CBT (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Child,Action,Oppositional and Conduct Disorders,CBT (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Child,Maintenance,Oppositional and Conduct Disorders,CBT (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Adolescent,Precontemplation,Oppositional and Conduct Disorders,CBT (group),Unclear,
Adolescent,Contemplation,Oppositional and Conduct Disorders,CBT (group),Unclear,
Adolescent,Preparation,Oppositional and Conduct Disorders,CBT (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Adolescent,Action,Oppositional and Conduct Disorders,CBT (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Adolescent,Maintenance,Oppositional and Conduct Disorders,CBT (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Child,Precontemplation,Oppositional and Conduct Disorders,Parent Management Training (group),Unclear,
Child,Contemplation,Oppositional and Conduct Disorders,Parent Management Training (group),Unclear,
Child,Preparation,Oppositional and Conduct Disorders,Parent Management Training (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Child,Action,Oppositional and Conduct Disorders,Parent Management Training (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Child,Maintenance,Oppositional and Conduct Disorders,Parent Management Training (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Adolescent,Precontemplation,Oppositional and Conduct Disorders,Parent Management Training (group),Unclear,
Adolescent,Contemplation,Oppositional and Conduct Disorders,Parent Management Training (group),Unclear,
Adolescent,Preparation,Oppositional and Conduct Disorders,Parent Management Training (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Adolescent,Action,Oppositional and Conduct Disorders,Parent Management Training (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Adolescent,Maintenance,Oppositional and Conduct Disorders,Parent Management Training (group),Fair,"Eyberg, S. M., Nelson, M. M., & Boggs, S. R. (2008). Evidence-based psychosocial treatments for child and adolescent with disruptive behavior. Journal of Clinical Child & Adolescent Psychology, 37, 215-237."
Child,Precontemplation,OCD,CBT,Unclear,
Child,Contemplation,OCD,CBT,Unclear,
Child,Preparation,OCD,CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Child,Action,OCD,CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Child,Maintenance,OCD,CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Adolescent,Precontemplation,OCD,CBT,Unclear,
Adolescent,Contemplation,OCD,CBT,Unclear,
Adolescent,Preparation,OCD,CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Adolescent,Action,OCD,CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Adolescent,Maintenance,OCD,CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Child,Precontemplation,OCD,Family Focused CBT,Unclear,
Child,Contemplation,OCD,Family Focused CBT,Unclear,
Child,Preparation,OCD,Family Focused CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26 ; Freeman, J., Sapyta, J., Garcia, A., Compton, S., Khanna, M., Flessner, C.. . Franklin, M. (2014). Family-based treatment of early childhood obsessive-compulsive disorder: The pediatric obsessive-compulsive disorder treatment study for young children (POTS jr)--a randomized clinical trial. JAMA Psychiatry, 71(6), 689."
Child,Action,OCD,Family Focused CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26 ; Freeman, J., Sapyta, J., Garcia, A., Compton, S., Khanna, M., Flessner, C.. . Franklin, M. (2014). Family-based treatment of early childhood obsessive-compulsive disorder: The pediatric obsessive-compulsive disorder treatment study for young children (POTS jr)--a randomized clinical trial. JAMA Psychiatry, 71(6), 689."
Child,Maintenance,OCD,Family Focused CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26 ; Freeman, J., Sapyta, J., Garcia, A., Compton, S., Khanna, M., Flessner, C.. . Franklin, M. (2014). Family-based treatment of early childhood obsessive-compulsive disorder: The pediatric obsessive-compulsive disorder treatment study for young children (POTS jr)--a randomized clinical trial. JAMA Psychiatry, 71(6), 689."
Adolescent,Precontemplation,OCD,Family Focused CBT,Unclear,
Adolescent,Contemplation,OCD,Family Focused CBT,Unclear,
Adolescent,Preparation,OCD,Family Focused CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26 ; Freeman, J., Sapyta, J., Garcia, A., Compton, S., Khanna, M., Flessner, C.. . Franklin, M. (2014). Family-based treatment of early childhood obsessive-compulsive disorder: The pediatric obsessive-compulsive disorder treatment study for young children (POTS jr)--a randomized clinical trial. JAMA Psychiatry, 71(6), 689."
Adolescent,Action,OCD,Family Focused CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26 ; Freeman, J., Sapyta, J., Garcia, A., Compton, S., Khanna, M., Flessner, C.. . Franklin, M. (2014). Family-based treatment of early childhood obsessive-compulsive disorder: The pediatric obsessive-compulsive disorder treatment study for young children (POTS jr)--a randomized clinical trial. JAMA Psychiatry, 71(6), 689."
Adolescent,Maintenance,OCD,Family Focused CBT,Good,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26 ; Freeman, J., Sapyta, J., Garcia, A., Compton, S., Khanna, M., Flessner, C.. . Franklin, M. (2014). Family-based treatment of early childhood obsessive-compulsive disorder: The pediatric obsessive-compulsive disorder treatment study for young children (POTS jr)--a randomized clinical trial. JAMA Psychiatry, 71(6), 689."
Child,Precontemplation,OCD,CBT (group),Unclear,
Child,Contemplation,OCD,CBT (group),Unclear,
Child,Preparation,OCD,CBT (group),Fair,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Child,Action,OCD,CBT (group),Fair,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Child,Maintenance,OCD,CBT (group),Fair,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Adolescent,Precontemplation,OCD,CBT (group),Unclear,
Adolescent,Contemplation,OCD,CBT (group),Unclear,
Adolescent,Preparation,OCD,CBT (group),Fair,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Adolescent,Action,OCD,CBT (group),Fair,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Adolescent,Maintenance,OCD,CBT (group),Fair,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Child,Precontemplation,OCD,CBT (technology-based/over the internet),Unclear,
Child,Contemplation,OCD,CBT (technology-based/over the internet),Unclear,
Child,Preparation,OCD,CBT (technology-based/over the internet),Experimental,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Child,Action,OCD,CBT (technology-based/over the internet),Experimental,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Child,Maintenance,OCD,CBT (technology-based/over the internet),Experimental,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Adolescent,Precontemplation,OCD,CBT (technology-based/over the internet),Unclear,
Adolescent,Contemplation,OCD,CBT (technology-based/over the internet),Unclear,
Adolescent,Preparation,OCD,CBT (technology-based/over the internet),Experimental,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Adolescent,Action,OCD,CBT (technology-based/over the internet),Experimental,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Adolescent,Maintenance,OCD,CBT (technology-based/over the internet),Experimental,"Freeman, J., Garcia, A., Frank, H., Benito, K., Conelea, C., Walther, M., & Edmunds, J. (2014). Evidence base update for psychosocial treatments for pediatric obsessive-compulsive disorder. Journal of Clinical Child and Adolescent Psychology, 43(1), 7-26."
Adult,Precontemplation,OCD,Exposure with Response Prevention (therapist guided),Unclear,
Adult,Contemplation,OCD,Exposure with Response Prevention (therapist guided),Unclear,
Adult,Preparation,OCD,Exposure with Response Prevention (therapist guided),Excellent,"Rosa-Alc†zar, A. I., S†nchez-Meca, J., G¢mez-Conesa, A., & Mar°n-Mart°nez, F. (2008). Psychological treatment of obsessive?compulsive disorder: A meta-analysis. Clinical Psychology Review, 28(8), 1310-1325. doi:10.1016/j.cpr.2008.07.001 ; Foa, E. B., Simpson, H. B., Liebowitz, M. R., Powers, M. B., Rosenfield, D., Cahill, S. P.. . Williams, M. T. (2013). Six-month follow-up of a randomized controlled trial augmenting serotonin reuptake inhibitor treatment with exposure and ritual prevention for obsessive-compulsive disorder. The Journal of Clinical Psychiatry, 74(5), 464. ; Simpson, H. B., Foa, E. B., Liebowitz, M. R., Ledley, D. R., Huppert, J. D., Cahill, S.. . Petkova, E. (2008). A randomized, controlled trial of cognitive-behavioral therapy for augmenting pharmacotherapy in obsessive-compulsive disorder. The American Journal of Psychiatry, 165(5), 621-630. doi:10.1176/appi.ajp.2007.07091440"
Adult,Action,OCD,Exposure with Response Prevention (therapist guided),Excellent,"Rosa-Alc†zar, A. I., S†nchez-Meca, J., G¢mez-Conesa, A., & Mar°n-Mart°nez, F. (2008). Psychological treatment of obsessive?compulsive disorder: A meta-analysis. Clinical Psychology Review, 28(8), 1310-1325. doi:10.1016/j.cpr.2008.07.001 ; Foa, E. B., Simpson, H. B., Liebowitz, M. R., Powers, M. B., Rosenfield, D., Cahill, S. P.. . Williams, M. T. (2013). Six-month follow-up of a randomized controlled trial augmenting serotonin reuptake inhibitor treatment with exposure and ritual prevention for obsessive-compulsive disorder. The Journal of Clinical Psychiatry, 74(5), 464. ; Simpson, H. B., Foa, E. B., Liebowitz, M. R., Ledley, D. R., Huppert, J. D., Cahill, S.. . Petkova, E. (2008). A randomized, controlled trial of cognitive-behavioral therapy for augmenting pharmacotherapy in obsessive-compulsive disorder. The American Journal of Psychiatry, 165(5), 621-630. doi:10.1176/appi.ajp.2007.07091440"
Adult,Maintenance,OCD,Exposure with Response Prevention (therapist guided),Excellent,"Rosa-Alc†zar, A. I., S†nchez-Meca, J., G¢mez-Conesa, A., & Mar°n-Mart°nez, F. (2008). Psychological treatment of obsessive?compulsive disorder: A meta-analysis. Clinical Psychology Review, 28(8), 1310-1325. doi:10.1016/j.cpr.2008.07.001 ; Foa, E. B., Simpson, H. B., Liebowitz, M. R., Powers, M. B., Rosenfield, D., Cahill, S. P.. . Williams, M. T. (2013). Six-month follow-up of a randomized controlled trial augmenting serotonin reuptake inhibitor treatment with exposure and ritual prevention for obsessive-compulsive disorder. The Journal of Clinical Psychiatry, 74(5), 464. ; Simpson, H. B., Foa, E. B., Liebowitz, M. R., Ledley, D. R., Huppert, J. D., Cahill, S.. . Petkova, E. (2008). A randomized, controlled trial of cognitive-behavioral therapy for augmenting pharmacotherapy in obsessive-compulsive disorder. The American Journal of Psychiatry, 165(5), 621-630. doi:10.1176/appi.ajp.2007.07091440"
Adult,Precontemplation,OCD,Exposure with Response Prevention (self-guided),Unclear,
Adult,Contemplation,OCD,Exposure with Response Prevention (self-guided),Unclear,
Adult,Preparation,OCD,Exposure with Response Prevention (self-guided),Good,"Rosa-Alc†zar, A. I., S†nchez-Meca, J., G¢mez-Conesa, A., & Mar°n-Mart°nez, F. (2008). Psychological treatment of obsessive?compulsive disorder: A meta-analysis. Clinical Psychology Review, 28(8), 1310-1325. doi:10.1016/j.cpr.2008.07.001 ; Foa, E. B., Simpson, H. B., Liebowitz, M. R., Powers, M. B., Rosenfield, D., Cahill, S. P.. . Williams, M. T. (2013). Six-month follow-up of a randomized controlled trial augmenting serotonin reuptake inhibitor treatment with exposure and ritual prevention for obsessive-compulsive disorder. The Journal of Clinical Psychiatry, 74(5), 464. ; Simpson, H. B., Foa, E. B., Liebowitz, M. R., Ledley, D. R., Huppert, J. D., Cahill, S.. . Petkova, E. (2008). A randomized, controlled trial of cognitive-behavioral therapy for augmenting pharmacotherapy in obsessive-compulsive disorder. The American Journal of Psychiatry, 165(5), 621-630. doi:10.1176/appi.ajp.2007.07091440"
Adult,Action,OCD,Exposure with Response Prevention (self-guided),Good,"Rosa-Alc†zar, A. I., S†nchez-Meca, J., G¢mez-Conesa, A., & Mar°n-Mart°nez, F. (2008). Psychological treatment of obsessive?compulsive disorder: A meta-analysis. Clinical Psychology Review, 28(8), 1310-1325. doi:10.1016/j.cpr.2008.07.001 ; Foa, E. B., Simpson, H. B., Liebowitz, M. R., Powers, M. B., Rosenfield, D., Cahill, S. P.. . Williams, M. T. (2013). Six-month follow-up of a randomized controlled trial augmenting serotonin reuptake inhibitor treatment with exposure and ritual prevention for obsessive-compulsive disorder. The Journal of Clinical Psychiatry, 74(5), 464. ; Simpson, H. B., Foa, E. B., Liebowitz, M. R., Ledley, D. R., Huppert, J. D., Cahill, S.. . Petkova, E. (2008). A randomized, controlled trial of cognitive-behavioral therapy for augmenting pharmacotherapy in obsessive-compulsive disorder. The American Journal of Psychiatry, 165(5), 621-630. doi:10.1176/appi.ajp.2007.07091440"
Adult,Maintenance,OCD,Exposure with Response Prevention (self-guided),Good,"Rosa-Alc†zar, A. I., S†nchez-Meca, J., G¢mez-Conesa, A., & Mar°n-Mart°nez, F. (2008). Psychological treatment of obsessive?compulsive disorder: A meta-analysis. Clinical Psychology Review, 28(8), 1310-1325. doi:10.1016/j.cpr.2008.07.001 ; Foa, E. B., Simpson, H. B., Liebowitz, M. R., Powers, M. B., Rosenfield, D., Cahill, S. P.. . Williams, M. T. (2013). Six-month follow-up of a randomized controlled trial augmenting serotonin reuptake inhibitor treatment with exposure and ritual prevention for obsessive-compulsive disorder. The Journal of Clinical Psychiatry, 74(5), 464. ; Simpson, H. B., Foa, E. B., Liebowitz, M. R., Ledley, D. R., Huppert, J. D., Cahill, S.. . Petkova, E. (2008). A randomized, controlled trial of cognitive-behavioral therapy for augmenting pharmacotherapy in obsessive-compulsive disorder. The American Journal of Psychiatry, 165(5), 621-630. doi:10.1176/appi.ajp.2007.07091440"
Adult,Precontemplation,OCD,CBT,Unclear,
Adult,Contemplation,OCD,CBT,Unclear,
Adult,Preparation,OCD,CBT,Excellent,"Rosa-Alc†zar, A. I., S†nchez-Meca, J., G¢mez-Conesa, A., & Mar°n-Mart°nez, F. (2008). Psychological treatment of obsessive?compulsive disorder: A meta-analysis. Clinical Psychology Review, 28(8), 1310-1325. doi:10.1016/j.cpr.2008.07.001 ; Foa, E. B., Simpson, H. B., Liebowitz, M. R., Powers, M. B., Rosenfield, D., Cahill, S. P.. . Williams, M. T. (2013). Six-month follow-up of a randomized controlled trial augmenting serotonin reuptake inhibitor treatment with exposure and ritual prevention for obsessive-compulsive disorder. The Journal of Clinical Psychiatry, 74(5), 464. ; Simpson, H. B., Foa, E. B., Liebowitz, M. R., Ledley, D. R., Huppert, J. D., Cahill, S.. . Petkova, E. (2008). A randomized, controlled trial of cognitive-behavioral therapy for augmenting pharmacotherapy in obsessive-compulsive disorder. The American Journal of Psychiatry, 165(5), 621-630. doi:10.1176/appi.ajp.2007.07091440"
Adult,Action,OCD,CBT,Excellent,"Rosa-Alc†zar, A. I., S†nchez-Meca, J., G¢mez-Conesa, A., & Mar°n-Mart°nez, F. (2008). Psychological treatment of obsessive?compulsive disorder: A meta-analysis. Clinical Psychology Review, 28(8), 1310-1325. doi:10.1016/j.cpr.2008.07.001 ; Foa, E. B., Simpson, H. B., Liebowitz, M. R., Powers, M. B., Rosenfield, D., Cahill, S. P.. . Williams, M. T. (2013). Six-month follow-up of a randomized controlled trial augmenting serotonin reuptake inhibitor treatment with exposure and ritual prevention for obsessive-compulsive disorder. The Journal of Clinical Psychiatry, 74(5), 464. ; Simpson, H. B., Foa, E. B., Liebowitz, M. R., Ledley, D. R., Huppert, J. D., Cahill, S.. . Petkova, E. (2008). A randomized, controlled trial of cognitive-behavioral therapy for augmenting pharmacotherapy in obsessive-compulsive disorder. The American Journal of Psychiatry, 165(5), 621-630. doi:10.1176/appi.ajp.2007.07091440"
Adult,Maintenance,OCD,CBT,Excellent,"Rosa-Alc†zar, A. I., S†nchez-Meca, J., G¢mez-Conesa, A., & Mar°n-Mart°nez, F. (2008). Psychological treatment of obsessive?compulsive disorder: A meta-analysis. Clinical Psychology Review, 28(8), 1310-1325. doi:10.1016/j.cpr.2008.07.001 ; Foa, E. B., Simpson, H. B., Liebowitz, M. R., Powers, M. B., Rosenfield, D., Cahill, S. P.. . Williams, M. T. (2013). Six-month follow-up of a randomized controlled trial augmenting serotonin reuptake inhibitor treatment with exposure and ritual prevention for obsessive-compulsive disorder. The Journal of Clinical Psychiatry, 74(5), 464. ; Simpson, H. B., Foa, E. B., Liebowitz, M. R., Ledley, D. R., Huppert, J. D., Cahill, S.. . Petkova, E. (2008). A randomized, controlled trial of cognitive-behavioral therapy for augmenting pharmacotherapy in obsessive-compulsive disorder. The American Journal of Psychiatry, 165(5), 621-630. doi:10.1176/appi.ajp.2007.07091440"
Adult,Precontemplation,OCD,Acceptance and Commitment Therapy,Unclear,
Adult,Contemplation,OCD,Acceptance and Commitment Therapy,Unclear,
Adult,Preparation,OCD,Acceptance and Commitment Therapy,Fair,"Twohig, M. P., Hayes, S. C., Plumb, J. C., Pruitt, L. D., Collins, A. B., Hazlett-Stevens, H., & Woidneck, M. R. (2010). A randomized clinical trial of acceptance and commitment therapy versus progressive relaxation training for obsessive-compulsive disorder. Journal of Consulting and Clinical Psychology, 78(5), 705-716. doi:10.1037/a0020508"
Adult,Action,OCD,Acceptance and Commitment Therapy,Fair,"Twohig, M. P., Hayes, S. C., Plumb, J. C., Pruitt, L. D., Collins, A. B., Hazlett-Stevens, H., & Woidneck, M. R. (2010). A randomized clinical trial of acceptance and commitment therapy versus progressive relaxation training for obsessive-compulsive disorder. Journal of Consulting and Clinical Psychology, 78(5), 705-716. doi:10.1037/a0020508"
Adult,Maintenance,OCD,Acceptance and Commitment Therapy,Fair,"Twohig, M. P., Hayes, S. C., Plumb, J. C., Pruitt, L. D., Collins, A. B., Hazlett-Stevens, H., & Woidneck, M. R. (2010). A randomized clinical trial of acceptance and commitment therapy versus progressive relaxation training for obsessive-compulsive disorder. Journal of Consulting and Clinical Psychology, 78(5), 705-716. doi:10.1037/a0020508"
Adult,Precontemplation,OCD,CBT (technology-based/over the internet),Unclear,
Adult,Contemplation,OCD,CBT (technology-based/over the internet),Unclear,
Adult,Preparation,OCD,CBT (technology-based/over the internet),Experimental,"Andersson, E., Ljotsson, B., Hedman, E., Kaldo, V., Paxling, B., Andersson, G., Lindefors, N., & Ruck, C. (2011). Internet-based cognitive behavior therapy for obsessive compulsive disorder: A pilot study. BMC Psychiatry, 11(1), 125-125. doi:10.1186/1471-244X-11-125 ; Andersson, E., Enander, J., AndrÇn, P., Hedman, E., Lj¢tsson, B., Hursti, T.. . Filosofiska fakulteten. (2012). Internet-based cognitive behaviour therapy for obsessive?compulsive disorder: A randomized controlled trial. Psychological Medicine, 42(10), 1-11. doi:10.1017/S0033291712000244"
Adult,Action,OCD,CBT (technology-based/over the internet),Experimental,"Andersson, E., Ljotsson, B., Hedman, E., Kaldo, V., Paxling, B., Andersson, G., Lindefors, N., & Ruck, C. (2011). Internet-based cognitive behavior therapy for obsessive compulsive disorder: A pilot study. BMC Psychiatry, 11(1), 125-125. doi:10.1186/1471-244X-11-125 ; Andersson, E., Enander, J., AndrÇn, P., Hedman, E., Lj¢tsson, B., Hursti, T.. . Filosofiska fakulteten. (2012). Internet-based cognitive behaviour therapy for obsessive?compulsive disorder: A randomized controlled trial. Psychological Medicine, 42(10), 1-11. doi:10.1017/S0033291712000244"
